Faribault,44.29048646960,-93.26801273780
Mankato,44.16362082830,-93.99915674010
Albert Lea,43.64778668120,-93.36870426610
Willmar,45.12188275050,-95.04330489270
Brainerd,46.35800884920,-94.20084985530
Crookston,47.77376222640,-96.60773136570
Hardin,45.73176800440,-107.61248600400
Glendive,47.10858319000,-104.71049259600
Dillon,45.21567547510,-112.68398523100
Polson,47.68800518710,-114.15668603700
Devils Lake,48.11221701970,-98.85968693210
Burley,42.53581321110,-113.79187626300
Wallace,47.47421978670,-115.92688806300
Kennewick,46.21137697250,-119.13609786200
Centralia,46.71641074530,-122.95297082700
Glendale,33.58194114080,-112.19582381400
Safford,32.83382143050,-109.70688012900
Casa Grande,32.87937420560,-111.75662581600
Mesa,33.42391461080,-111.73608443400
Lake Havasu City,34.49829347640,-114.30827885100
Berkeley,37.87390138660,-122.27115197900
National City,32.67194500630,-117.09800521000
Mendocino,39.30776735340,-123.79943078800
Paso Robles,35.62659669910,-120.68998234200
Riverside,33.94194500630,-117.39803857600
Delano,35.76193727520,-119.24306807600
San Mateo,37.55691815090,-122.31306156600
Vallejo,38.11194887190,-122.25805200400
Glenwood Springs,39.54658998520,-107.32469995300
Aurora,39.69585735990,-104.80849695000
Greeley,40.41919822090,-104.73997400100
Tonopah,38.06699037580,-117.22897912800
Deming,32.26109153140,-107.75578475100
Truth or Consequences,33.13359641420,-107.25289555000
Las Vegas,35.59701194160,-105.22250268700
Farmington,36.75415061340,-108.18609440300
Springfield,44.05194805810,-122.97803389700
Tillamook,45.45524741520,-123.84250309400
Ontario,44.02662660630,-116.96188948800
La Grande,45.32468690910,-118.08660119800
Richfield,38.77247702950,-112.08329838200
Nephi,39.71027508450,-111.83548405100
Lander,42.83300437320,-108.73259851300
Powell,44.75867494620,-108.75843672900
Paragould,36.05708721830,-90.50288436050
Iowa City,41.66108624170,-91.52997929050
Ottumwa,41.01288291330,-92.41480900240
Spencer,43.14528505360,-95.14717452170
Ft. Dodge,42.50682273260,-94.18025679700
Hutchinson,38.06549175930,-97.92349084650
Kansas City,39.11358051690,-94.63014637710
Lawrence,38.95975242010,-95.25522994160
Garden City,37.97521303210,-100.86408655000
Manhattan,39.19402752590,-96.59243514180
Hays,38.87936972970,-99.32219100120
Goodland,39.34848838200,-101.71103743700
Independence,39.09111391100,-94.41528121110
Kirksville,40.19368227040,-92.58280908380
Kearney,40.70070558580,-99.08114628270
Grand Island,40.92226828920,-98.35798628920
Alliance,42.10139528310,-102.87019148900
Bartlesville,36.74720013330,-95.98058618340
Enid,36.39554201160,-97.87809310080
Ardmore,34.18107769680,-97.12940494970
McAlester,34.93299562480,-95.76597396010
Stillwater,36.13535117500,-97.06829756850
Lead,44.35084454250,-103.76576989900
Slidell,30.27495953270,-89.78109379250
Lake Charles,30.22638368630,-93.21718896660
Metairie,29.98386618960,-90.15277653170
New Iberia,30.00358074850,-91.81830794450
Bryan,30.67418581040,-96.36968388040
San Marcos,29.88307130840,-97.94111250990
Longview,32.50053428040,-94.74027429380
McAllen,26.20303753560,-98.22972538430
Harlingen,26.19755983380,-97.69019759300
Alice,27.75046246240,-98.07048445820
New Braunfels,29.69781129860,-98.12632084330
Cleburne,32.35152528790,-97.39248966650
Brownwood,31.70789532370,-98.98231510600
Alpine,30.36071657210,-103.66500085600
Van Horn,31.04248374330,-104.83224227100
Big Spring,32.24318564760,-101.47518620000
Vernon,34.15105368960,-99.29038415710
Childress,34.42488710430,-100.21391951700
Hereford,34.82191713360,-102.39859236800
Dalhart,36.06080792140,-102.51861088200
Texas City,29.41087790830,-94.96276717300
Pasadena,29.66086264950,-95.14774296240
Baytown,29.75584393210,-94.96772811050
Arlington,32.68476076150,-97.02023848650
New London,41.35552349760,-72.10002832200
Stamford,41.05334555980,-73.53919112310
Waterbury,41.55000775050,-73.05002201510
New Bedford,41.65612530420,-70.94469832530
Springfield,42.12002463690,-72.57999902510
Salem,42.52249890350,-70.88309174580
Pittsfield,42.44819582020,-73.25982833020
Montpelier,44.25997153630,-72.57581323410
Auburn,32.60970074360,-85.48083947930
Florence,34.79969626770,-87.67724288100
Winter Haven,28.02191876120,-81.73300622730
Melbourne,28.08331036280,-80.60832035490
Homestead,25.46830202130,-80.47778568700
Sanford,28.78995973610,-81.27998478360
Miami Beach,25.80991953390,-80.13178110520
Coral Springs,26.27083701480,-80.27082157560
Port Charlotte,27.00004315080,-82.10569665700
Spring Hill,28.47894512840,-82.54771102060
Palm Coast,29.53800193180,-81.22329573740
Palatka,29.64768515930,-81.65130578790
Leesburg,28.81050111800,-81.88333296890
Lake City,30.18971925760,-82.63974674650
Crestview,30.75420676580,-86.57260746430
Panama City,30.15861004540,-85.65527327650
Dalton,34.76972393700,-84.97030216650
Marietta,33.95561342270,-84.54324813000
Waycross,31.21381695460,-82.35490625170
La Grange,33.03647055970,-85.03187463550
Southaven,34.96891074530,-90.00345748060
Meridian,32.36418601380,-88.70361434100
Laurel,31.69737916970,-89.13927250340
Spartanburg,34.94942873030,-81.93227055020
Orangeburg,33.49680421860,-80.86223250500
Galesburg,40.94777060860,-90.37108361990
Joliet,41.52998313300,-88.10667403330
Cape Girardeau,37.30582236640,-89.51808659030
Rockford,42.26970542300,-89.06969018730
Evanston,42.04834942530,-87.69995467300
Rock Island,41.49339621890,-90.53461368990
Elgin,42.03946107900,-88.28991866220
Richmond,39.82889833480,-84.89028121110
Terre Haute,39.46664654440,-87.41387394380
Lafayette,40.41720867820,-86.87824772310
Marion,40.55833701480,-85.65917484710
South Bend,41.68330710760,-86.25001733570
